epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.5952197942974269,0.23515700855688162,0.2762344755776123,0.3241147454903771,0.388104187141788
2,0.7637052390822673,0.5448461191597015,0.5745318182742225,0.6213950793043765,0.6905342814851357
3,0.8366559485530547,0.6880611203622714,0.7234221908692803,0.7649889709862484,0.8918683033685477
4,0.8622463561017433,0.7492762027634662,0.7978403853628855,0.8658528007142124,0.9494624067949046
5,0.877822234924264,0.7981227286867686,0.845595272381101,0.9063520729706123,0.9603608491466039
6,0.8846263751964566,0.833131422182253,0.877800629676711,0.9226575988910589,0.9658977689693756
7,0.8963423346192313,0.8578649591669972,0.8973372106445999,0.930809758515442,0.9699279942846539
8,0.9009858551221603,0.8732126496651583,0.9077614880379253,0.9352577247683227,0.9727733939614799
9,0.908129732818974,0.8835066997323491,0.9158133823618425,0.939985366877111,0.9750252620716625
10,0.9081231692505537,0.8908630002757736,0.9188011726157521,0.9425410565162521,0.9754075846284538
11,0.91237721021611,0.8989998419001743,0.9222911016389057,0.9445430445977842,0.9770854046165228
12,0.9161308758394057,0.9027648781881833,0.9239104180065008,0.9473421864944358,0.9787289594580691
13,0.9185153431214946,0.9070253752141921,0.9270778907655957,0.9495219302783372,0.9787411028220633
14,0.9197356670834078,0.9086861075227063,0.928175117217677,0.950821624749448,0.9795874535876692
15,0.9217745392198885,0.9118424494531082,0.9296438864190896,0.9531305851689432,0.9799223091826215
16,0.9271376526894779,0.9137107637515789,0.9327474935105141,0.9545389804887173,0.9802427170545523
17,0.926632376053722,0.9151504788864595,0.9338921642472235,0.9553589240616599,0.9811743208887952
18,0.928704100585798,0.9146286166481586,0.9353939709687135,0.9559781503392161,0.9814120280665203
19,0.9298139086330678,0.9188455493641948,0.935692456302923,0.957550938302469,0.9817428376888598
20,0.9328808715842114,0.917912949384807,0.9370356642723641,0.9578729303973992,0.9818519644933396
21,0.93284754964995,0.9198566353847588,0.9376183260831853,0.9580634465270551,0.9823755017106013
22,0.9342048864123447,0.9201186260519463,0.9386929223128081,0.958515975125224,0.9829361812176639
23,0.9354907843977711,0.9220254820537969,0.9387390605465261,0.9600990761638855,0.9826504347054871
24,0.9376339477068153,0.9228204297940895,0.9397280713943665,0.960124774049088,0.9830552910201487
25,0.937491070152879,0.9236777895358085,0.9404900833646338,0.9602781609675594,0.9827695434016045
26,0.9357051007286755,0.9233590271543545,0.9411316491597854,0.9606010326295092,0.9835788393266611
27,0.9372767538219746,0.9249764501265769,0.9412297011318832,0.9610640240911982,0.9840551556866068
28,0.9401343049007,0.9266068482911978,0.9427383857590623,0.9625043254129645,0.9840430633114184
29,0.9399914273467638,0.9262367981692315,0.9417872153529423,0.9610287491471875,0.9840676427766718
30,0.9418488355479354,0.9262769852763314,0.9418124241853479,0.9619231793805466,0.9841870808901713
31,0.9432776110872982,0.9272863430434355,0.9432663676303475,0.963434809910801,0.9842940837823403
32,0.9434204886412345,0.9283010856581401,0.9449319370104012,0.9619583923584692,0.984282341949909
33,0.9424203457636805,0.9281546569861403,0.9445033179584087,0.9632919476679082,0.9844252407708849
34,0.943706243749107,0.9300248601159676,0.9444318723294094,0.9626022224282907,0.9843182608351905
35,0.9452064580654379,0.9297994951659762,0.9449445234914379,0.9632064200561986,0.9846871889070924
36,0.9446349478496928,0.9300614373481926,0.9449319463671499,0.9636491398515218,0.9851396829571936
37,0.9475639377053865,0.9315981327230052,0.9449445158832214,0.9638166867146488,0.9846747358464912
38,0.9484926418059723,0.9302281788034977,0.9455285794071694,0.9640769184973507,0.9849495105026568
39,0.9460637233890555,0.9316839040506921,0.9456099882714856,0.9642903977340239,0.9857343553079577
40,0.9484550812645115,0.9314902128875554,0.9464685592405931,0.9646016526246961,0.9851983343362511
41,0.9479925703671953,0.9313345863380937,0.9459546347562066,0.9635538872982842,0.9853308924467842
42,0.9480640091441634,0.9318585166356571,0.9472543415576483,0.9644217639640148,0.9854720540098837
43,0.9482068866980997,0.9335714591300109,0.9474937491963201,0.9647930040318982,0.9847706621097699
44,0.9476353764823546,0.9326427754449398,0.947027538933075,0.9652791007417211,0.9848773511789716
45,0.9484212030290041,0.932144265789235,0.945457190719333,0.9649580282193249,0.9854851647953257
46,0.9489212744677811,0.931942611635221,0.9478847814718137,0.9643512353760318,0.985865844082756
47,0.9476729649605314,0.9324776161263326,0.9479086088578997,0.9657792079075422,0.9857108775609507
48,0.9511733400007144,0.9322283641917998,0.9475037950760415,0.9651370406864525,0.9854495478879336
49,0.9500642948992714,0.9324887778770189,0.9475752321517827,0.9658637683065535,0.9856991527537048
50,0.9500642948992714,0.9324887778770189,0.9475752321517827,0.9658637683065535,0.9856991527537048
